ID,Language_ID,Name,Description,Segments,Morpheme_ID,Parameter_ID,Comment,Source,Part_Of_Speech
awajpe-mountain-eagle,yab,awajpë,,a w a h p ə,awajpe-mountain-eagle,mountain eagle,,,
awarake-wasp-sp,yab,awarakë,,a w a r a k ə,awarake-wasp-sp,wasp sp.,,,
awochi-tumor,yab,awochi,,a w o t͡ʃ i,awochi-tumor,tumor,,,
chai-son-voc,yab,chai,,t͡ʃ a i,chai-son-voc,son (voc.),,,
chijchipu-body-movement,yab,chijchipu,,t͡ʃ i h t͡ʃ i p u,chijchipu-body-movement,body movement,,,
chika-bite,yab,chika,,t͡ʃ i k a,chika-bite,bite,,,
chike-chigger,yab,chikë,,t͡ʃ i k ə,chike-chigger,chigger,,,
chima-path,yab,chima,,t͡ʃ i m a,chima-path,path,,,
chimichimi-worm-dog,yab,chimichimi,,t͡ʃ i m i t͡ʃ i m i,chimichimi-worm-dog,worm (dog),,,
chipiyu-fungus-sp,yab,chipiyu,,t͡ʃ i p i j u,chipiyu-fungus-sp,fungus.sp,,,
chiramu-mange,yab,chiramu,,t͡ʃ i r a m u,chiramu-mange,mange,,,
chirike-star,yab,chirikë,,t͡ʃ i r i k ə,chirike-star,star,,,
chiri-titi-monkey,yab,chiri,,t͡ʃ i r i,chiri-titi-monkey,titi monkey,,,
chiri-wild-pineapple,yab,chiri,,t͡ʃ i r i,chiri-wild-pineapple,wild pineapple,,,
chiyakono-friend,yab,chiyakono,,t͡ʃ i j a k o n o,chiyakono-friend,friend,,,
chiyakon-friend,yab,chiyakon,,t͡ʃ i j a k o n,chiyakono-friend,friend,,,
chiyakom-friend,yab,chiyakom,,t͡ʃ i j a k o m,chiyakono-friend,friend,,,
chekey-nit,yab,chëkëy,,t͡ʃ ə k ə j,chekey-nit,nit,,,
ejne-1-2pro,yab,ejnë,,e h n ə,ejne-1-2pro,1+2PRO,,,
eni-prox-inan,yab,eni,,e n i,eni-prox-inan,PROX.INAN,Are these actually allomorphs?,,
seni-prox-inan,yab,seni,,s e n i,eni-prox-inan,PROX.INAN,Are these actually allomorphs?,,
en-prox-inan,yab,en,,e n,eni-prox-inan,PROX.INAN,Are these actually allomorphs?,,
enijne-prox-inan-pl,yab,enijne,,e n i h n e,enijne-prox-inan-pl,PROX.INAN.PL,Also *enisantomo*?,,
enijpete-one,yab,enijpëtë,,e n i h p ə t ə,enijpete-one,one,,,
enire-now,yab,enirë,,e n i r ə,enire-now,now; today,,,
eniro-now,yab,eniro,,e n i r o,enire-now,now; today,,,
entono-from-here,yab,entono,,e n t o n o,entono-from-here,from here,,,
ente-here-loc,yab,entë,,e n t ə,ente-here-loc,here.LOC,,,
epe-escape,yab,epe,,e p e,epe-escape,escape; hide and seek,,,
eretapi-cultivated-plant,yab,eretapi,,e r e t a p i,eretapi-cultivated-plant,cultivated plant,,,
ewine-here-all,yab,ewinë,,e w i n ə,ewine-here-all,here.ALL,,,
ijmoy-egg,yab,ijmoy,,i h m o j,ijmoy-egg,egg,,,
ijpu-summit,yab,ijpu,,i h p u,ijpu-summit,summit,,,
inawe-have,yab,inawë,,i n a w ə,inawe-have,have,,,
ini-see,yab,ini,,i n i,ini-see,see,,,
in-see,yab,in,,i n,ini-see,see,,,
ene-see,yab,ene,,e n e,ini-see,see,,,
intipijke-small,yab,intipijkë,,i n t i p i h k ə,intipijke-small,small,? + [](morphemes.csv#cldf:pijkedim),,
iriyawe-then,yab,iriyawë,,i r i j a w ə,iriyawe-then,then,,,
irejpe-then,yab,irëjpë,,i r ə h p ə,irejpe-then,then,,,
ita-hear,yab,ita,,i t a,ita-hear,hear,,,
iyajtepe-before,yab,iyajtëpe,,i j a h t ə p e,iyajtepe-before,before,,,
iyajte-care-for,yab,iyajtë,,i j a h t ə,iyajte-care-for,care for,,,
jta-foot,yab,jta,,h t a,jta-foot,foot,,,
jwaka-ill-aq,yab,jwaka,,h w a k a,jwaka-ill-aq,ILL.AQ; LOC.AQ,,,
ka-q,yab,ka,,k a,ka-q,Q,,,
kaimo-game,yab,kaimo,,k a i m o,kaimo-game,game,,,
kamere-lightning,yab,kamere,,k a m e r e,kamere-lightning,lightning,,,
kampara-big,yab,kampara,,k a m p a r a,kampara-big,big,,,
kampra-big,yab,kampra,,k a m p r a,kampara-big,big,,,
kamwiyajka-change,yab,kamwiyajka,,k a m w i j a h k a,kamwiyajka-change,change,,,
kapau-dasypus-novemcinctus,yab,kapau,,k a p a u,kapau-dasypus-novemcinctus,dasypus novemcinctus,,,
karasake-white,yab,karasake,,k a r a s a k e,karasake-white,white,Probably contains [mp](keprop).,,
ka-take-out,yab,ka,,k a,ka-take-out,take out,,,
kasajpe-fruit-pit,yab,kasajpë,,k a s a h p ə,kasajpe-fruit-pit,fruit pit,,,
kaso-fat,yab,kaso,,k a s o,kaso-fat,fat,,,
kawono-high,yab,kawono,,k a w o n o,kawono-high,high,,,
kawon-high,yab,kawon,,k a w o n,kawono-high,high,,,
kawe-high,yab,kawë,,k a w ə,kawe-high,high,,,
kayami-louse,yab,kayamï,,k a j a m ɨ,kayami-louse,louse,,,
kaya-barbasco,yab,kaya,,k a j a,kaya-barbasco,barbasco,,,
kaya-gourd,yab,kaya,,k a j a,kaya-gourd,gourd,,,
kejkepe-salamander,yab,kejkepe,,k e h k e p e,kejkepe-salamander,salamander,,,
kinta-become-tired,yab,kinta,,k i n t a,kinta-become-tired,become tired,,,
kocha-tail,yab,kocha,,k o t͡ʃ a,kocha-tail,tail,,,
kojpa-night,yab,kojpa,,k o h p a,kojpa-night,night,,,
konopo-rain,yab,konopo,,k o n o p o,konopo-rain,rain,,,
ko-brassolis-sophorae,yab,ko,,k o,ko-brassolis-sophorae,brassolis sophorae,,,
kori-brassolis-sophorae,yab,korï,,k o r ɨ,ko-brassolis-sophorae,brassolis sophorae,,,
korokoro-c,yab,korokoro,,k o r o k o r o,korokoro-c,C.,,,
kuku-answer,yab,kuku,,k u k u,kuku-answer,answer,,,
kune-cook,yab,kunë,,k u n ə,kune-cook,cook,,,
kuno-cook,yab,kuno,,k u n o,kune-cook,cook,,,
kuru-prochilodus-mariae,yab,kuru,,k u r u,kuru-prochilodus-mariae,prochilodus mariae,,,
kuruwa-coroba-palm,yab,kuruwa,,k u r u w a,kuruwa-coroba-palm,coroba palm,,,
kuya-tree-sp,yab,kuya,,k u j a,kuya-tree-sp,tree.sp,,,
kuyuwi-bird-sp,yab,kuyuwi,,k u j u w i,kuyuwi-bird-sp,bird.sp,,,
kejma-hunt,yab,këjma,,k ə h m a,kejma-hunt,hunt,,,
kemu-pus,yab,këmu,,k ə m u,kemu-pus,pus,,,
kere-prox-anim,yab,kërë,,k ə r ə,kere-prox-anim,PROX.ANIM,,,
keresantomo-prox-anim-pl,yab,kërësantomo,,k ə r ə s a n t o m o,keresantomo-prox-anim-pl,PROX.ANIM.PL,,,
keta-stink,yab,këta,,k ə t a,keta-stink,stink,,,
ketejwate-cotton,yab,këtëjwatë,,k ə t ə h w a t ə,ketejwate-cotton,cotton,,,
keya-think,yab,këya,,k ə j a,keya-think,think,,,
kimiy-chili,yab,kïmïy,,k ɨ m ɨ j,kimiy-chili,chili,,,
kimii-chili,yab,kïmïi,,k ɨ m ɨ i,kimiy-chili,chili,,,
kiripi-go-out,yab,kïrïpï,,k ɨ r ɨ p ɨ,kiripi-go-out,go out,,,
majawa-m,yab,majawa,,m a h a w a,majawa-m,M.,,,
majpe-m,yab,majpë,,m a h p ə,majpe-m,M.,,,
maka-ceiba-pentandra,yab,maka,,m a k a,maka-ceiba-pentandra,ceiba pentandra,,,
makarike-cayman,yab,makarikë,,m a k a r i k ə,makarike-cayman,cayman,,,
makuyupi-catfish-sp,yab,makuyupi,,m a k u j u p i,makuyupi-catfish-sp,catfish.sp,,,
