ID,Wordform_ID,Morph_ID,Index,Gloss_ID
tesekemi-prop-name-prop-nmlz-0,tesekemi-prop-name-prop-nmlz,tprop,0,prop
tesekemi-prop-name-prop-nmlz-1,tesekemi-prop-name-prop-nmlz,ese-name,1,name
tesekemi-prop-name-prop-nmlz-2,tesekemi-prop-name-prop-nmlz,keprop,2,prop
tesekemi-prop-name-prop-nmlz-3,tesekemi-prop-name-prop-nmlz,minmlz,3,nmlz
toti-3-meat-pert-0,toti-3-meat-pert,it3,0,3
toti-3-meat-pert-1,toti-3-meat-pert,oti-meat,1,meat
toti-3-meat-pert-2,toti-3-meat-pert,rupert-zero,2,pert
tujnaka-iller-0,tujnaka-iller,tujnaka-iller,0,iller
teijpo-far-1-0,teijpo-far-1,teijpo-far,0,far
tewi-3pro-0,tewi-3pro,tewi-3pro,0,3pro
tewisantomo-3pro-pl-0,tewisantomo-3pro-pl,tewisantomo-3pro-pl,0,"3pro,pl"
wanene-aunt-0,wanene-aunt,wanene-aunt,0,aunt
waraijtori-husband-pert-0,waraijtori-husband-pert,waraijto-husband,0,husband
waraijtori-husband-pert-1,waraijtori-husband-pert,ripert,1,pert
wenaru-vomit-pert-0,wenaru-vomit-pert,wena-vomit,0,vomit
wenaru-vomit-pert-1,wenaru-vomit-pert,rupert,1,pert
weseyu-be-brave-acnnmlz-0,weseyu-be-brave-acnnmlz,weseyu-be-brave,0,be-brave
weseyu-be-brave-acnnmlz-1,weseyu-be-brave-acnnmlz,rinmlz-zero,1,acnnmlz
weseyuru-be-brave-ipfv-0,weseyuru-be-brave-ipfv,weseyu-be-brave,0,be-brave
weseyuru-be-brave-ipfv-1,weseyuru-be-brave-ipfv,ri-ru,1,ipfv
wire-1pro-0,wire-1pro,wire-1pro,0,1pro
yane-mother-0,yane-mother,yane-mother,0,mother
yumpe-fairly-0,yumpe-fairly,yumpe-fairly,0,fairly
yewukuru-answer-ipfv-0,yewukuru-answer-ipfv,yewuku-answer,0,answer
yewukuru-answer-ipfv-1,yewukuru-answer-ipfv,ri-ru,1,ipfv
ejpina-often-0,ejpina-often,ejpina-often,0,often
ejte-house-npert-0,ejte-house-npert,ej-house,0,house
ejte-house-npert-1,ejte-house-npert,tenpert,1,npert
eke-which-0,eke-which,eke-which,0,which
empare-already-0,empare-already,empare-already,0,already
enukuru-go-up-ipfv-0,enukuru-go-up-ipfv,enuku-go-up,0,go-up
enukuru-go-up-ipfv-1,enukuru-go-up-ipfv,ri-ru,1,ipfv
toto-non-indian-0,toto-non-indian,toto-non-indian,0,non-indian
yoti-lk-meat-pert-0,yoti-lk-meat-pert,ylk,0,lk
yoti-lk-meat-pert-1,yoti-lk-meat-pert,oti-meat,1,meat
yoti-lk-meat-pert-2,yoti-lk-meat-pert,rupert-zero,2,pert
tajtoj-say-circ-nmlz-0,tajtoj-say-circ-nmlz,taj-say,0,say
tajtoj-say-circ-nmlz-1,tajtoj-say-circ-nmlz,tojnmlz,1,"circ,nmlz"
ati-what-0,ati-what,ati-what,0,what
ke-ins-0,ke-ins,ke-ins,0,ins
yamane-make-ipfv-0,yamane-make-ipfv,yamane-make,0,make
yamane-make-ipfv-1,yamane-make-ipfv,ri-zero,1,ipfv
wejsape-cop-pfv-0,wejsape-cop-pfv,wej-cop,0,cop
wejsape-cop-pfv-1,wejsape-cop-pfv,sapepfv,1,pfv
ya-erg-0,ya-erg,ya-erg,0,erg
nepijpe-bring-pst-0,nepijpe-bring-pst,nepi-bring,0,bring
nepijpe-bring-pst-1,nepijpe-bring-pst,jpepst1,1,pst
ma-rst-0,ma-rst,ma-rst,0,rst
wejtane-cop-cncs-0,wejtane-cop-cncs,wej-cop,0,cop
wejtane-cop-cncs-1,wejtane-cop-cncs,tanecncs,1,cncs
re-emp-0,re-emp,re-emp,0,emp
warai-like-0,warai-like,warai-like,0,like
mere-2pro-0,mere-2pro,mere-2pro,0,2pro
iniri-see-ipfv-0,iniri-see-ipfv,ini-see,0,see
iniri-see-ipfv-1,iniri-see-ipfv,ri,1,ipfv
meyarika-2-laugh-ipfv-0,meyarika-2-laugh-ipfv,me2,0,2
meyarika-2-laugh-ipfv-1,meyarika-2-laugh-ipfv,yarika-laugh,1,laugh
meyarika-2-laugh-ipfv-2,meyarika-2-laugh-ipfv,ri-zero,2,ipfv
ti-hsy-0,ti-hsy,ti-hsy,0,hsy
yaruwari-laugh-ipfv-0,yaruwari-laugh-ipfv,yaruwa-laugh,0,laugh
yaruwari-laugh-ipfv-1,yaruwari-laugh-ipfv,ri,1,ipfv
kwase-how-0,kwase-how,kwase-how,0,how
wajyakiti-be-happy-ipfv-0,wajyakiti-be-happy-ipfv,wajyakiti-be-happy,0,be-happy
wajyakiti-be-happy-ipfv-1,wajyakiti-be-happy-ipfv,ri-zero,1,ipfv
taro-say-ipfv-0,taro-say-ipfv,taro-say,0,say
taro-say-ipfv-1,taro-say-ipfv,ri-zero,1,ipfv
ta-say-ipfv-0,ta-say-ipfv,ta-say,0,say
ta-say-ipfv-1,ta-say-ipfv,ri-zero,1,ipfv
uyiwij-1-lk-house-pert-0,uyiwij-1-lk-house-pert,u1,0,1
uyiwij-1-lk-house-pert-1,uyiwij-1-lk-house-pert,ylk,1,lk
uyiwij-1-lk-house-pert-2,uyiwij-1-lk-house-pert,iwij-house,2,house
uyiwij-1-lk-house-pert-3,uyiwij-1-lk-house-pert,rupert-zero,3,pert
yawe-loc-0,yawe-loc,yawe-loc,0,loc
usenejkari-1-stay-ipfv-0,usenejkari-1-stay-ipfv,u1,0,1
usenejkari-1-stay-ipfv-2,usenejkari-1-stay-ipfv,ri,2,ipfv
sukuri-silently-0,sukuri-silently,sukuri-silently,0,silently
yaruwa-laugh-ipfv-0,yaruwa-laugh-ipfv,yaruwa-laugh,0,laugh
yaruwa-laugh-ipfv-1,yaruwa-laugh-ipfv,ri-zero,1,ipfv
kontomo-pl-0,kontomo-pl,kontomo-pl,0,pl
yatum-day-0,yatum-day,yatum-day,0,day
inija-see-neg-0,inija-see-neg,ini-see,0,see
inija-see-neg-1,inija-see-neg,janeg,1,neg
ta-like-0,ta-like,ta-like,0,like
uyare-1-alone-0,uyare-1-alone,u1,0,1
uyare-1-alone-1,uyare-1-alone,yare-alone,1,alone
peremekiri-talk-ipfv-0,peremekiri-talk-ipfv,peremeki-talk,0,talk
peremekiri-talk-ipfv-1,peremekiri-talk-ipfv,ri-ri,1,ipfv
narepe-part-0,narepe-part,narepe-part,0,part
yakere-lk-with-0,yakere-lk-with,ylk,0,lk
yakere-lk-with-1,yakere-lk-with,akere-with,1,with
wa-thus-0,wa-thus,wa-thus,0,thus
