ID,Stem_ID,Morph_ID,Index,Gloss_ID
mekontomo-2pl-pro,mekontomo-2pl-pro,mekontomo-2pl-pro,0,"2pl,pro"
montomo-2pl-pro,montomo-2pl-pro,montomo-2pl-pro,0,"2pl,pro"
mokontom-2pl-pro,mokontom-2pl-pro,mokontom-2pl-pro,0,"2pl,pro"
mokonton-2pl-pro,mokonton-2pl-pro,mokonton-2pl-pro,0,"2pl,pro"
moroko-fish,moroko-fish,moroko-fish,0,fish
morone-hurting,morone-hurting,morone-hurting,0,hurting
moroni-pain,moroni-pain,moroni-pain,0,pain
moron-pain,moron-pain,moron-pain,0,pain
morono-poison,morono-poison,morono-poison,0,poison
moto-worm,moto-worm,moto-worm,0,worm
moyochi-spider-sp,moyochi-spider-sp,moyochi-spider-sp,0,spider-sp
mujna-grave,mujna-grave,mujna-grave,0,grave
mujyane-pregnancy,mujyane-pregnancy,mujyane-pregnancy,0,pregnancy
mujyam-pregnancy,mujyam-pregnancy,mujyam-pregnancy,0,pregnancy
muku-child,muku-child,muku-child,0,child
mune-bulbous,mune-bulbous,mune-bulbous,0,bulbous
munta-budding,munta-budding,munta-budding,0,budding
mejki-dist-anim,mejki-dist-anim,mejki-dist-anim,0,"dist,anim"
meki-dist-anim,meki-dist-anim,meki-dist-anim,0,"dist,anim"
mere-2pro,mere-2pro,mere-2pro,0,2pro
mijna-there-all,mijna-there-all,mijna-there-all,0,"there,all"
minte-there-loc,minte-there-loc,minte-there-loc,0,"there,loc"
mira-priodontes-maximus,mira-priodontes-maximus,mira-priodontes-maximus,0,priodontes-maximus
nai-do,nai-do,nai-do,0,do
naij-do,naij-do,naij-do,0,do
najmo-grandmother,najmo-grandmother,najmo-grandmother,0,grandmother
najpi-grandfather,najpi-grandfather,najpi-grandfather,0,grandfather
najwata-harbor,najwata-harbor,najwata-harbor,0,harbor
naki-thirst,naki-thirst,naki-thirst,0,thirst
nata-door,nata-door,nata-door,0,door
nepi-bring,nepi-bring,nepi-bring,0,bring
nej-bring,nej-bring,nej-bring,0,bring
nono-earth,nono-earth,nono-earth,0,earth
nope-good,nope-good,nope-good,0,good
nop-good,nop-good,nop-good,0,good
noro-parrot-sp,noro-parrot-sp,noro-parrot-sp,0,"parrot,sp"
noti-potential-partner,noti-potential-partner,noti-potential-partner,0,potential-partner
nta-mouth,nta-mouth,nta-mouth,0,mouth
inta-mouth,inta-mouth,inta-mouth,0,mouth
nune-moon,nune-moon,nune-moon,0,moon
nu-tongue,nu-tongue,nu-tongue,0,tongue
nwajte-dance,nwajte-dance,nwajte-dance,0,dance
wajte-dance,wajte-dance,wajte-dance,0,dance
neme-leave,neme-leave,neme-leave,0,leave
ojpa-give-drink,ojpa-give-drink,ojpa-give-drink,0,give-drink
onono-another,onono-another,onono-another,0,another
orojyamo-evil-being,orojyamo-evil-being,orojyamo-evil-being,0,evil-being
pachi-older-sister-of-woman,pachi-older-sister-of-woman,pachi-older-sister-of-woman,0,older-sister-of-woman
paka-cow,paka-cow,paka-cow,0,cow
pakara-basket,pakara-basket,pakara-basket,0,basket
pakura-coix-lacryma-jobi,pakura-coix-lacryma-jobi,pakura-coix-lacryma-jobi,0,coix-lacryma-jobi
paku-arrow-tip,paku-arrow-tip,paku-arrow-tip,0,arrow-tip
pana-ear,pana-ear,pana-ear,0,ear
pana-dat,pana-dat,pana-dat,0,dat
panaima-give-advice,panaima-give-advice,panaima-give-advice,0,give-advice
papa-father,papa-father,papa-father,0,father
parata-silver,parata-silver,parata-silver,0,silver
pirata-silver,pirata-silver,pirata-silver,0,silver
parujpe-broth,parujpe-broth,parujpe-broth,0,broth
pata-village,pata-village,pata-village,0,village
pata-axe,pata-axe,pata-axe,0,axe
pate-cross,pate-cross,pate-cross,0,cross
penare-before,penare-before,penare-before,0,before
pene-piranha,pene-piranha,pene-piranha,0,piranha
pepoye-above-perl,pepoye-above-perl,pepoye-above-perl,0,"above,perl"
pe-palm-sp,pe-palm-sp,pe-palm-sp,0,"palm,sp"
peti-leg,peti-leg,peti-leg,0,leg
peye-turtle-sp,peye-turtle-sp,peye-turtle-sp,0,"turtle,sp"
picha-capuchin-monkey,picha-capuchin-monkey,picha-capuchin-monkey,0,capuchin-monkey
pichipichi-whitebait,pichipichi-whitebait,pichipichi-whitebait,0,whitebait
pijpe-skin,pijpe-skin,pijpe-skin,0,skin
