ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
kaya-barbasco,yab,kaya,,barbasco,,,,
kaya-gourd,yab,kaya,,gourd,,,,
kejkepe-salamander,yab,kejkepe,,salamander,,,,
kinta-become-tired,yab,kinta,,become tired,,,,
kocha-tail,yab,kocha,,tail,,,,
kojpa-night,yab,kojpa,,night,,,,
konopo-rain,yab,konopo,,rain,,,,
ko-brassolis-sophorae,yab,ko,,brassolis sophorae,,,,
korokoro-c,yab,korokoro,,C.,,,,
kuku-answer,yab,kuku,,answer,,,,
kune-cook,yab,kunë,,cook,,,,
kuru-prochilodus-mariae,yab,kuru,,prochilodus mariae,,,,
kuruwa-coroba-palm,yab,kuruwa,,coroba palm,,,,
kuya-tree-sp,yab,kuya,,tree.sp,,,,
kuyuwi-bird-sp,yab,kuyuwi,,bird.sp,,,,
kejma-hunt,yab,këjma,,hunt,,,,
kemu-pus,yab,këmu,,pus,,,,
kere-prox-anim,yab,kërë,,PROX.ANIM,,,,
keresantomo-prox-anim-pl,yab,kërësantomo,,PROX.ANIM.PL,,,,
keta-stink,yab,këta,,stink,,,,
ketejwate-cotton,yab,këtëjwatë,,cotton,,,,
keya-think,yab,këya,,think,,,,
kimiy-chili,yab,kïmïy,,chili,,,,
kiripi-go-out,yab,kïrïpï,,go out,,,,
majawa-m,yab,majawa,,M.,,,,
majpe-m,yab,majpë,,M.,,,,
maka-ceiba-pentandra,yab,maka,,ceiba pentandra,,,,
makarike-cayman,yab,makarikë,,cayman,,,,
makuyupi-catfish-sp,yab,makuyupi,,catfish.sp,,,,
make-mom,yab,makë,,mom,,,,
mapara-chicken,yab,mapara,,chicken,,,,
mare-rel-inan,yab,marë,,REL.INAN,,,,
mare-still,yab,marë,,still,,,,
mati-breast,yab,mati,,breast,,,,
mayawaka-m,yab,mayawaka,,M.,,,,
mayi-lets-go,yab,mayi,,let’s go,,,,
mejya-cover,yab,mejya,,cover,,,,
michi-med-anim,yab,michi,,MED.ANIM,,,,
michisantomo-med-anim-pl,yab,michisantomo,,MED.ANIM.PL,,,,
michitomo-med-anim-pl,yab,michitomo,,MED.ANIM.PL,,,,
misi-med-inan,yab,misi,,MED.INAN,,,,
miti-root,yab,miti,,root; vein,,,,
mone-vagina,yab,mone,,vagina,,,,
moneka-girl-voc,yab,moneka,,girl.VOC,,,,
monkontomo-2pl-pro,yab,monkontomo,,2PL.PRO,,,,
moroko-fish,yab,moroko,,fish,,,,
morone-hurting,yab,morone,,hurting,,,,
moroni-pain,yab,moroni,,pain,,,,
morono-poison,yab,morono,,poison,,,,
moto-worm,yab,moto,,worm,,,,
moyochi-spider-sp,yab,moyochi,,spider (sp.),,,,
mujna-grave,yab,mujna,,grave,,,,
mujyane-pregnancy,yab,mujyanë,,pregnancy,,,,
muku-child,yab,muku,,child,,,,
mune-bulbous,yab,mune,,bulbous,,,,
munta-budding,yab,munta,,budding,,,,
mejki-dist-anim,yab,mëjkï,,DIST.ANIM,,,,
mejnijne-dist-inan-pl,yab,mëjnijne,,DIST.INAN.PL,,,,
mejni-dist-inan,yab,mëjnï,,DIST.INAN,,,,
mekisantomo-dist-anim-pl,yab,mëkïsantomo,,DIST.ANIM.PL,,,,
mere-2pro,yab,mërë,,2PRO,,,,
mere-med-inan,yab,mërë,,MED.INAN,,,,
