ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
ketejwate-cotton,yab,këtëjwatë,ketejwate-cotton,cotton,këtëjwatë,k ə t ə h w a t ə,,,n
keya-think,yab,këya,keya-think,think,këya,k ə j a,,,vi
kimiy-chili,yab,kïmïy,kimiy-chili,chili,kïmïy,k ɨ m ɨ j,,,n
kimii-chili,yab,kïmïi,kimiy-chili,chili,kïmïi,k ɨ m ɨ i,,,n
kiripi-go-out,yab,kïrïpï,kiripi-go-out,go out,kïrïpï,k ɨ r ɨ p ɨ,,,vi
maka-ceiba-pentandra,yab,maka,maka-ceiba-pentandra,ceiba pentandra,maka,m a k a,,,n
makarike-cayman,yab,makarikë,makarike-cayman,cayman,makarikë,m a k a r i k ə,,,n
makuyupi-catfish-sp,yab,makuyupi,makuyupi-catfish-sp,catfish.sp,makuyupi,m a k u j u p i,,,n
make-mom,yab,makë,make-mom,mom,makë,m a k ə,,,n
mapara-chicken,yab,mapara,mapara-chicken,chicken,mapara,m a p a r a,,,n
mare-still,yab,marë,mare-still,still,marë,m a r ə,,,adv
mare-still-1,yab,mare,mare-still,still,mare,m a r e,,,adv
mati-breast,yab,mati,mati-breast,breast,mati,m a t i,,,n
mejya-cover,yab,mejya,mejya-cover,cover,mejya,m e h j a,,,n
miti-root,yab,miti,miti-root,root; vein,miti,m i t i,,,n
mone-vagina,yab,mone,mone-vagina,vagina,mone,m o n e,,,n
moneka-girl-voc,yab,moneka,moneka-girl-voc,girl.VOC,moneka,m o n e k a,,,n
monkontomo-2pl-pro,yab,monkontomo,monkontomo-2pl-pro,2PL.PRO,monkontomo,m o n k o n t o m o,,,pn
mokontomo-2pl-pro,yab,mokontomo,monkontomo-2pl-pro,2PL.PRO,mokontomo,m o k o n t o m o,,,pn
mekontomo-2pl-pro,yab,mëkontomo,monkontomo-2pl-pro,2PL.PRO,mëkontomo,m ə k o n t o m o,,,pn
montomo-2pl-pro,yab,montomo,monkontomo-2pl-pro,2PL.PRO,montomo,m o n t o m o,,,pn
mokontom-2pl-pro,yab,mokontom,monkontomo-2pl-pro,2PL.PRO,mokontom,m o k o n t o m,,,pn
mokonton-2pl-pro,yab,mokonton,monkontomo-2pl-pro,2PL.PRO,mokonton,m o k o n t o n,,,pn
moroko-fish,yab,moroko,moroko-fish,fish,moroko,m o r o k o,,,n
morone-hurting,yab,morone,morone-hurting,hurting,morone,m o r o n e,,,adv
moroni-pain,yab,moroni,moroni-pain,pain,moroni,m o r o n i,,,n
moron-pain,yab,moron,moroni-pain,pain,moron,m o r o n,,,n
morono-poison,yab,morono,morono-poison,poison,morono,m o r o n o,,,n
moto-worm,yab,moto,moto-worm,worm,moto,m o t o,,,n
moyochi-spider-sp,yab,moyochi,moyochi-spider-sp,spider (sp.),moyochi,m o j o t͡ʃ i,,,n
mujna-grave,yab,mujna,mujna-grave,grave,mujna,m u h n a,,,n
mujyane-pregnancy,yab,mujyanë,mujyane-pregnancy,pregnancy,mujyanë,m u h j a n ə,,,n
mujyam-pregnancy,yab,mujyam,mujyane-pregnancy,pregnancy,mujyam,m u h j a m,,,n
muku-child,yab,muku,muku-child,child,muku,m u k u,,,n
mune-bulbous,yab,mune,mune-bulbous,bulbous,mune,m u n e,,,adv
munta-budding,yab,munta,munta-budding,budding,munta,m u n t a,,,vi
mejki-dist-anim,yab,mëjkï,mejki-dist-anim,DIST.ANIM,mëjkï,m ə h k ɨ,,,pn
meki-dist-anim,yab,mëkï,mejki-dist-anim,DIST.ANIM,mëkï,m ə k ɨ,,,pn
mere-2pro,yab,mërë,mere-2pro,2PRO,mërë,m ə r ə,,,pn
mijna-there-all,yab,mïjna,mijna-there-all,there.ALL,mïjna,m ɨ h n a,,,adv
minte-there-loc,yab,mïntë,minte-there-loc,there.LOC,mïntë,m ɨ n t ə,,,adv
mira-priodontes-maximus,yab,mïra,mira-priodontes-maximus,priodontes maximus,mïra,m ɨ r a,,,n
nai-do,yab,nai,nai-do,do,nai,n a i,,,vt
naij-do,yab,naij,nai-do,do,naij,n a i h,,,vt
najmo-grandmother,yab,najmo,najmo-grandmother,grandmother,najmo,n a h m o,,,n
najpi-grandfather,yab,najpï,najpi-grandfather,grandfather,najpï,n a h p ɨ,,,n
najwata-harbor,yab,najwata,najwata-harbor,harbor,najwata,n a h w a t a,,,n
naki-thirst,yab,naki,naki-thirst,thirst,naki,n a k i,,,n
nata-door,yab,nata,nata-door,door,nata,n a t a,,,n
nepi-bring,yab,nepï,nepi-bring,bring,nepï,n e p ɨ,,,vt
nej-bring,yab,nej,nepi-bring,bring,nej,n e h,,,vt
nono-earth,yab,nono,nono-earth,earth,nono,n o n o,,,n
nope-good,yab,nope,nope-good,good,nope,n o p e,,,adv
nop-good,yab,nop,nope-good,good,nop,n o p,,,adv
noro-parrot-sp,yab,noro,noro-parrot-sp,parrot.sp,noro,n o r o,,,n
noti-potential-partner,yab,noti,noti-potential-partner,potential partner; cross cousin,noti,n o t i,,,n
nta-mouth,yab,nta,nta-mouth,mouth,nta,n t a,,,n
inta-mouth,yab,inta,nta-mouth,mouth,inta,i n t a,,,n
nune-moon,yab,nunë,nune-moon,moon,nunë,n u n ə,,,n
nu-tongue,yab,nu,nu-tongue,tongue,nu,n u,,,n
nwajte-dance,yab,nwajtë,nwajte-dance,dance,nwajtë,n w a h t ə,,,vi
wajte-dance,yab,wajtë,nwajte-dance,dance,wajtë,w a h t ə,,,vi
neme-leave,yab,nëmë,neme-leave,leave,nëmë,n ə m ə,,,vt
ojpa-give-drink,yab,ojpa,ojpa-give-drink,give drink,ojpa,o h p a,,,vt
onono-another,yab,onono,onono-another,another,onono,o n o n o,,,n
orojyamo-evil-being,yab,orojyamo,orojyamo-evil-being,evil being,orojyamo,o r o h j a m o,,,n
pachi-older-sister-of-woman,yab,pachi,pachi-older-sister-of-woman,older sister of woman,pachi,p a t͡ʃ i,,,n
paka-cow,yab,paka,paka-cow,cow,paka,p a k a,,,n
pakara-basket,yab,pakara,pakara-basket,basket,pakara,p a k a r a,,,n
pakura-coix-lacryma-jobi,yab,pakura,pakura-coix-lacryma-jobi,Coix lacryma-jobi,pakura,p a k u r a,,,n
paku-arrow-tip,yab,paku,paku-arrow-tip,arrow tip,paku,p a k u,,,n
pana-ear,yab,pana,pana-ear,ear,pana,p a n a,,,n
pana-dat,yab,pana,pana-dat,DAT,pana,p a n a,,,postp
panaima-give-advice,yab,panaima,panaima-give-advice,give advice,panaima,p a n a i m a,,,vt
papa-father,yab,papa,papa-father,father,papa,p a p a,,,n
parata-silver,yab,parata,parata-silver,silver,parata,p a r a t a,,,n
pirata-silver,yab,pïrata,parata-silver,silver,pïrata,p ɨ r a t a,,,n
parujpe-broth,yab,parujpë,parujpe-broth,broth,parujpë,p a r u h p ə,,,n
pata-village,yab,pata,pata-village,village,pata,p a t a,,,n
pata-axe,yab,pata,pata-axe,axe,pata,p a t a,,,n
pate-cross,yab,patë,pate-cross,cross,patë,p a t ə,,,vt
penare-before,yab,penarë,penare-before,before,penarë,p e n a r ə,,,adv
pene-piranha,yab,pene,pene-piranha,piranha,pene,p e n e,,,n
pepoye-above-perl,yab,pepoye,pepoye-above-perl,above.PERL,pepoye,p e p o j e,,,postp
pe-palm-sp,yab,pe,pe-palm-sp,palm.sp,pe,p e,,,n
peti-leg,yab,peti,peti-leg,leg,peti,p e t i,,,n
peye-turtle-sp,yab,peye,peye-turtle-sp,turtle.sp,peye,p e j e,,,n
picha-capuchin-monkey,yab,picha,picha-capuchin-monkey,capuchin monkey,picha,p i t͡ʃ a,,,n
pichipichi-whitebait,yab,pichipichi,pichipichi-whitebait,whitebait,pichipichi,p i t͡ʃ i p i t͡ʃ i,,,n
pijpe-skin,yab,pijpë,pijpe-skin,skin,pijpë,p i h p ə,,,n
pika-peel,yab,pika,pika-peel,peel,pika,p i k a,,,vt
pike-fart,yab,pikë,pike-fart,fart,pikë,p i k ə,,,n
pipi-younger-brother-of-woman,yab,pipi,pipi-younger-brother-of-woman,younger brother of woman,pipi,p i p i,,,n
pirini-walk,yab,pirini,pirini-walk,walk,pirini,p i r i n i,,,vi
pirini-walk-1,yab,pïrini,pirini-walk,walk,pïrini,p ɨ r i n i,,,vi
pojte-want,yab,pojtë,pojte-want,want,pojtë,p o h t ə,,,vt
pore-leg,yab,pore,pore-leg,leg,pore,p o r e,,,n
poroko-basket-sp,yab,poroko,poroko-basket-sp,basket.sp,poroko,p o r o k o,,,n
poseti-belly,yab,poseti,poseti-belly,belly,poseti,p o s e t i,,,n
pota-mouth,yab,pota,pota-mouth,mouth; shore,pota,p o t a,,,n
poye-above,yab,poye,poye-above,above,poye,p o j e,,,postp
punu-flesh,yab,punu,punu-flesh,flesh,punu,p u n u,,,n
pun-flesh,yab,pun,punu-flesh,flesh,pun,p u n,,,n
puri-older,yab,puri,puri-older,older,puri,p u r i,,,n
putu-feel,yab,putu,putu-feel,feel,putu,p u t u,,,vt
peke-about,yab,pëkë,peke-about,about,pëkë,p ə k ə,,,postp
poko-about,yab,poko,peke-about,about,poko,p o k o,,,postp
penaka-return,yab,pënaka,penaka-return,return,pënaka,p ə n a k a,Maybe derived with [mp](kavbz).,,vt
pimi-neck,yab,pïmï,pimi-neck,neck,pïmï,p ɨ m ɨ,,,n
pirika-endure,yab,pïrïka,pirika-endure,endure,pïrïka,p ɨ r ɨ k a,,,vt
piti-paint,yab,pïtï,piti-paint,paint,pïtï,p ɨ t ɨ,,,vt
roka-wash,yab,roka,roka-wash,wash,roka,r o k a,,,vt
roko-crazy,yab,roko,roko-crazy,crazy,roko,r o k o,,,n
romoye-downriver,yab,romoye,romoye-downriver,downriver,romoye,r o m o j e,,,adv
rotoro-doctor,yab,rotoro,rotoro-doctor,doctor,rotoro,r o t o r o,,,n
rui-older-brother,yab,rui,rui-older-brother,older brother,rui,r u i,,,n
sai-penis,yab,sai,sai-penis,penis,sai,s a i,,,n
sakara-hoplias-malabaricus,yab,sakara,sakara-hoplias-malabaricus,hoplias malabaricus,sakara,s a k a r a,,,n
sakau-sand,yab,sakau,sakau-sand,sand,sakau,s a k a u,,,n
saku-sweet-potato,yab,saku,saku-sweet-potato,sweet potato,saku,s a k u,,,n
samo-cry,yab,samo,samo-cry,cry,samo,s a m o,,,vi
semo-cry,yab,sëmo,samo-cry,cry,sëmo,s ə m o,,,vi
asamo-cry,yab,asamo,samo-cry,cry,asamo,a s a m o,,,vi
sampu-black-piranha,yab,sampu,sampu-black-piranha,black piranha,sampu,s a m p u,,,n
sapara-heavy-pot,yab,sapara,sapara-heavy-pot,heavy pot,sapara,s a p a r a,,,n
sare-here-all,yab,sarë,sare-here-all,here.ALL,sarë,s a r ə,,,adv
sawo-rapids,yab,sawo,sawo-rapids,rapids,sawo,s a w o,,,n
