ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
sepami-get-married,yab,sepamï,sepami-get-married,get married,sepamï,s e p a m ɨ,,,vi
sepan-get-married,yab,sepan,sepami-get-married,get married,sepan,s e p a n,,,vi
sere-bitter-manioc,yab,sere,sere-bitter-manioc,bitter manioc,sere,s e r e,,,n
sojpa-take-out,yab,sojpa,sojpa-take-out,take out,sojpa,s o h p a,,,vt
sopika-skin,yab,sopika,sopika-skin,skin,sopika,s o p i k a,,,vt
sukase-all,yab,sukase,sukase-all,all,sukase,s u k a s e,,,adv
sukutaka-yucuta,yab,sukutaka,sukutaka-yucuta,yucuta,sukutaka,s u k u t a k a,,,n
surukupi-fish-sp,yab,surukupi,surukupi-fish-sp,fish.sp,surukupi,s u r u k u p i,,,n
sema-die,yab,sëma,sema-die,die,sëma,s ə m a,Looks like a DETRZ?,,vi
esema-die,yab,ësëma,sema-die,die,ësëma,ə s ə m a,Looks like a DETRZ?,,vi
tajme-ugly,yab,tajme,tajme-ugly,ugly,tajme,t a h m e,,,adv
tajnomo-piaroa,yab,tajnomo,tajnomo-piaroa,Piaroa,tajnomo,t a h n o m o,,,n
tajnon-piaroa,yab,tajnon,tajnomo-piaroa,Piaroa,tajnon,t a h n o n,,,n
tajromini-bad-omen,yab,tajromini,tajromini-bad-omen,bad omen,tajromini,t a h r o m i n i,,,n
tajromin-bad-omen,yab,tajromin,tajromini-bad-omen,bad omen,tajromin,t a h r o m i n,,,n
tajropo-have-fever,yab,tajropo,tajropo-have-fever,have fever,tajropo,t a h r o p o,,,vi
takono-other,yab,takono,takono-other,other,takono,t a k o n o,,,n
takon-other,yab,takon,takono-other,other,takon,t a k o n,,,n
takunu-laziness,yab,takunu,takunu-laziness,laziness,takunu,t a k u n u,,,n
tapa-beat,yab,tapa,tapa-beat,beat,tapa,t a p a,,,vt
tarine-fast,yab,tarine,tarine-fast,fast,tarine,t a r i n e,Derived with _-ne_?,,adv
taro-say,yab,taro,taro-say,say,taro,t a r o,,,vt
taj-say,yab,taj,taro-say,say,taj,t a h,,,vt
ta-say,yab,ta,taro-say,say,ta,t a,,,vt
tawani-darkness,yab,tawani,tawani-darkness,darkness,tawani,t a w a n i,,,n
tawa-nyctidromus-albicollis,yab,tawa,tawa-nyctidromus-albicollis,nyctidromus albicollis,tawa,t a w a,,,n
temeki-defend,yab,temekï,temeki-defend,defend,temekï,t e m e k ɨ,,,vt
semeki-defend,yab,semekï,temeki-defend,defend,semekï,s e m e k ɨ,,,vt
semej-defend,yab,semej,temeki-defend,defend,semej,s e m e h,,,vt
tojpa-hit,yab,tojpa,tojpa-hit,hit,tojpa,t o h p a,,,vt
