ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
takerejtomo-3-relative-pert-pl-0-3,akere-relative-1,3,takerejtomo-3-relative-pert-pl-0,
takerejtomo-3-relative-pert-pl-2-pert,akere-relative-1,pert,takerejtomo-3-relative-pert-pl-2,
takerejtomo-3-relative-pert-pl-3-pl,akere-relative-1,pl,takerejtomo-3-relative-pert-pl-3,
patakasape-take-out-pfv-1-pfv,pataka-take-out,pfv,patakasape-take-out-pfv-1,
kukuru-answer-ipfv-1-ipfv,kuku-answer,ipfv,kukuru-answer-ipfv-1,
keyetari-grow-ipfv-1-ipfv,keyeta-grow,ipfv,keyetari-grow-ipfv-1,
memukuru-2-child-pert-0-2,muku-child,2,memukuru-2-child-pert-0,
memukuru-2-child-pert-2-pert,muku-child,pert,memukuru-2-child-pert-2,
keyetajpe-grow-pst-1-pst,keyeta-grow,pst,keyetajpe-grow-pst-1,
meinija-2-see-neg-0-2,ini-see,2,meinija-2-see-neg-0,
meinija-2-see-neg-2-neg,ini-see,neg,meinija-2-see-neg-2,
usamori-1-cry-ipfv-0-1,samo-cry,1,usamori-1-cry-ipfv-0,
usamori-1-cry-ipfv-2-ipfv,samo-cry,ipfv,usamori-1-cry-ipfv-2,
uyipi-1-mountain-pert-0-1,yipi-mountain,1,uyipi-1-mountain-pert-0,
uyipi-1-mountain-pert-2-pert,yipi-mountain,pert,uyipi-1-mountain-pert-2,
uyepematojpe-1-pay-purp-0-1,yepema-pay,1,uyepematojpe-1-pay-purp-0,
metepetiri-2-go-plur-ipfv-0-2,tepeti-go-plur-1,2,metepetiri-2-go-plur-ipfv-0,
metepetiri-2-go-plur-ipfv-3-ipfv,tepeti-go-plur-1,ipfv,metepetiri-2-go-plur-ipfv-3,
tepeti-go-plur-ipfv-1-ipfv,tepeti-go-plur,ipfv,tepeti-go-plur-ipfv-1,
najpitomo-grandfather-pert-pl-1-pert,najpi-grandfather,pert,najpitomo-grandfather-pert-pl-1,
najpitomo-grandfather-pert-pl-2-pl,najpi-grandfather,pl,najpitomo-grandfather-pert-pl-2,
