ID,Wordform_ID,Stem_ID,Index
konopo-rain-0,konopo-rain,konopo-rain,0
wejsare-come-imn-0,wejsare-come-imn,wej-come,0
tipase-go-in-group-pst-0,tipase-go-in-group-pst,tipa-go-in-group,0
tipapejse-go-in-group-plur-pst-deriv-stem,tipapejse-go-in-group-plur-pst,tipapej-go-in-group-plur,"0,1"
tipapejse-go-in-group-plur-pst-0,tipapejse-go-in-group-plur-pst,tipa-go-in-group,0
waijta-mouse-0,waijta-mouse,waijta-mouse,0
waraijtokon-man-0,waraijtokon-man,waraijtokon-man,0
ijtese-3-go-pst-1,ijtese-3-go-pst,te-go,1
tiwij-3-house-pert-1,tiwij-3-house-pert,iwij-house,1
waraijtokomo-man-0,waraijtokomo-man,waraijtokomo-man,0
meyepema-2-pay-ipfv-1,meyepema-2-pay-ipfv,yepema-pay,1
meyapejjrama-2-grab-proh-1,meyapejjrama-2-grab-proh,yapej-grab,1
mepana-2-dat-1,mepana-2-dat,pana-dat,1
tataja-3p-say-neg-1,tataja-3p-say-neg,ta-say,1
metojpa-2-hit-ipfv-1,metojpa-2-hit-ipfv,tojpa-hit,1
nankase-find-pst-0,nankase-find-pst,nanka-find,0
takerejtomo-3-relative-pert-pl-1,takerejtomo-3-relative-pert-pl,akere-relative-1,1
peti-leg-0,peti-leg,peti-leg,0
patakasape-take-out-pfv-0,patakasape-take-out-pfv,pataka-take-out,0
yakucho-p-a-0,yakucho-p-a,yakucho-p-a,0
pana-dat-0,pana-dat,pana-dat,0
kukuru-answer-ipfv-0,kukuru-answer-ipfv,kuku-answer,0
weroro-dog-0,weroro-dog,weroro-dog,0
wera-like-0,wera-like,wera-like,0
keyetari-grow-ipfv-0,keyetari-grow-ipfv,keyeta-grow,0
memukuru-2-child-pert-1,memukuru-2-child-pert,muku-child,1
keyetajpe-grow-pst-0,keyetajpe-grow-pst,keyeta-grow,0
chima-path-0,chima-path,chima-path,0
pata-village-0,pata-village,pata-village,0
mare-still-0,mare-still,mare-still-1,0
meinija-2-see-neg-1,meinija-2-see-neg,ini-see,1
usamori-1-cry-ipfv-1,usamori-1-cry-ipfv,samo-cry,1
uyipi-1-mountain-pert-1,uyipi-1-mountain-pert,yipi-mountain,1
inchare-see-imn-0,inchare-see-imn,in-see,0
uyepematojpe-1-pay-purp-1,uyepematojpe-1-pay-purp,yepema-pay,1
metepetiri-2-go-plur-ipfv-deriv-stem,metepetiri-2-go-plur-ipfv,tepeti-go-plur-1,"1,2"
metepetiri-2-go-plur-ipfv-1,metepetiri-2-go-plur-ipfv,te-go,1
tepeti-go-plur-ipfv-0,tepeti-go-plur-ipfv,tepeti-go-plur,0
najpitomo-grandfather-pert-pl-0,najpitomo-grandfather-pert-pl,najpi-grandfather,0
senka-finish-acnnmlz-0,senka-finish-acnnmlz,senka-finish,0
